gal_number,mean_v_sig_ratio,mean_sig_v,mean_sig_v_z,max_v_rot,mean_v_rot
773005,2.735686153632821,16.998272518183484,15.206782947894162,57.558337281336236,44.738108243815084
773126,2.6649979154086236,13.811249738265822,13.235449755568093,55.143056040797006,36.544029566429735
773440,2.5359438171918307,15.885307223026556,10.73752407083922,57.944688255905554,33.223012036788894
773561,3.2215311510168587,9.40923768529248,7.386535115504881,41.74327475710357,30.88265261034431
773562,1.1059245801487474,10.37329284557197,5.283270019384742,16.52404760329691,10.462960613065613
773823,3.965215178781236,9.700234900975694,8.816925423502312,50.80517545562313,37.51407964081717
775325,0.8563156822895669,25.220943647805115,22.187185899713057,30.753515305257952,19.930838369047613
775420,5.503551397069237,11.765188623262832,8.748277645074404,63.913391293980915,46.10888009105438
776365,2.5109456840426767,17.068347202982654,15.248227726323362,51.989139159180056,42.34563378654285
776397,0.04712668782829338,19.957813246965888,11.405102614398054,7.063908798692374,0.9213973857203825
776752,3.4165295415637438,18.75479744707576,18.36386103660409,68.77189940679254,50.59565517058966
776767,3.0910588926733666,10.902820796939361,9.401982659876174,46.624435728794126,31.790065632150988
777633,2.750713598185742,14.454849472365444,13.213061379057981,47.278168250771785,38.284355833923804
777875,1.0115305026027344,21.00546799327459,19.546045128652626,27.458659929781412,19.39930668008012
778249,5.664076834514788,9.765787815760298,8.350133412206207,63.96032676619405,41.061125518755524
778364,0.6537962374509431,21.013719598680872,18.631289342944694,21.8556348757022,13.814704916731806
778383,1.822868127698449,13.633179046773725,11.46133677616912,37.54542058430335,25.98146144735689
778666,1.2270258140913222,22.02749190099999,21.27524198697612,43.28940611466008,25.561043563463997
778726,2.7867737431469526,12.175783934480618,6.5225719414345384,59.035722680290725,30.26553706800573
779452,2.108325631022539,15.751930476212232,14.425323528645626,48.78558145570214,33.83747252365517
779529,1.4852002361046166,22.345306484273447,21.513225466467862,44.33605239364704,32.892644584520475
779530,3.556671973532802,5.016037639492105,3.917758787272632,25.87370823983071,16.36665823772086
779589,3.554008396593241,11.738237198120487,10.640583369148262,63.0989945541483,41.968189146227765
779604,4.799055724640026,10.89764135698944,10.343081980548911,55.82811013116742,47.15318730507749
779637,4.409646304925988,12.735169728650627,12.506573436417847,68.93471513500934,52.76623417557071
779983,5.152752490353989,10.654951304783946,10.682321845629373,60.74187308866707,48.603558674668214
780331,4.548000203228498,11.558276414751433,10.473879867227968,57.923462052160104,49.568947506723795
780577,3.3158712054669013,12.496690992319769,11.68251594658534,50.29649503763357,39.393224903310376
780636,7.049726209637732,7.824542510999735,7.762678933162554,60.28623595605921,51.90615921119248
780705,5.2491896511893,10.510705685904744,7.61860146625564,57.60715757929465,44.924932389310776
780749,3.904141438452544,12.931536199419142,12.445161668356006,62.25622197895165,50.82272007772381
781103,2.908461038267666,15.634836565287417,7.839083434784146,59.24989611507301,25.568597183293505
781131,1.7936465239807575,16.75352703993423,13.240886656292469,37.51309093257428,30.00353804844663
782123,2.203742913113731,14.265225600661738,13.764764309155476,43.18699286960219,30.609167863721183
782124,2.750248740246723,9.794750292409166,9.423651885096715,34.87140506341461,27.56649401857624
782258,1.5517929305119467,23.994264704174103,22.067660178310106,44.6628476431432,36.82355288673745
782514,3.299788539409176,13.069261196772729,11.808463253670508,60.27257985485115,41.49240590518894
782541,6.416045071552465,9.135612821992487,7.9401340395322615,58.987946594928445,49.55597770324787
782606,3.9796328679467763,12.331322332958374,12.333920534699585,54.29701263184796,44.570042689979026
782705,1.5820893890441707,18.16752855918352,17.507497430842456,48.431255046565845,26.787522501801877
782979,4.077052753052059,9.467123000468318,7.448783760425197,50.27099020900077,36.587961963987844
783321,9.511844827350226,4.521948550806103,4.330058285455418,45.19608248307587,36.83581231232741
783772,4.869678350266393,7.264248685193116,6.897070566055376,53.3233772563827,36.874279651286706
784018,2.3998197057786332,15.45541016775239,15.074485112077943,43.357444326674766,37.19163448331528
784378,3.91534201940126,13.36678414831635,12.030884701921439,58.789347074189756,47.49804872794047
785588,3.3278048204239474,17.934067763812468,16.480243703268254,59.3270328965583,51.4287825327213
785795,0.7963314962008515,23.670196244860136,21.99662214631562,27.342814303666056,17.174313221208806
785968,1.957737856570226,18.68456041051181,15.314131137602091,50.645845906558215,36.969792466112494
786044,2.520416728181609,13.182974603188542,12.806874867181932,41.66670689310085,33.68069873992959
786386,2.6231276605383944,9.245107409815144,7.9292340563486166,46.398066294394916,21.389658995796253
786387,1.7917009039581313,5.292153650614519,2.995015492215206,16.940931759485004,9.789757760117444
786435,3.119934227519001,14.550097965116416,11.215949237929705,54.78212441830998,43.017137162176766
787325,1.4678135153219536,23.012753656391386,19.859909119480722,45.915966432274345,34.28793596935599
787956,0.5176465935808763,9.243605538234329,5.780652466799245,9.185821536013139,4.215283923277273
788074,1.1291063598070115,23.331413439136753,16.33428454020851,34.99118954836669,25.96295196774672
788324,3.126381879485289,10.989457154704768,9.235853932816187,41.67039692835743,31.41503582770358
788598,3.0870751946927606,12.615850586590817,10.3862959700313,48.54655956096564,36.72461420895809
789140,1.1781236550074976,23.626668794197034,19.87916374773423,38.20754425917002,28.14477344759062
790693,5.875539850089534,7.345345644497098,6.052135934241524,50.01770181149867,35.2921890982012
790835,0.3809350599737609,19.55751353347181,21.018691146878282,16.003363421590002,5.920145968165714
791004,4.045047253792505,10.06985293377212,9.355930480581572,50.37753629254718,41.52167314283568
791224,1.5350420901564732,20.164933048859783,17.718823338426784,54.51451573499103,32.212560805437185
791316,2.1726567561644927,18.362215721742455,14.33569988891866,50.88039116487641,38.47202279010832
791395,1.58141542460808,20.906345476646248,19.19446492374218,44.14875590183985,32.39222916425816
791688,3.2874780982680556,12.746010151226592,10.506469476818468,46.95636301984784,33.39707249429364
792073,3.2644990475140916,11.541740557190877,9.680528144975778,44.28891004684097,34.314251332284094
792105,8.436766908282085,5.354827813777215,5.334879710553315,49.82430212233712,37.62152577944987
792447,7.754585794504766,5.1071518330152905,4.54151588502048,49.846337230470645,33.28111989770395
792578,3.877214094014026,10.157628787033351,9.876236257587408,50.5337331832757,39.41020972825317
792717,6.1896797231177345,8.007059109074776,7.37162938026287,59.993299861269016,43.43368721126789
792741,1.9676262761640062,16.767778101790636,14.625628109447824,50.08806965192806,33.78358188197444
793038,4.282085754509797,11.846600451832117,10.986509878960627,54.30810367836884,47.030445813806544
793180,15.349876672759237,3.6417835160620564,3.466058280224035,56.052005343661534,42.53576974544741
793404,6.098584507181052,7.730190670608309,6.0455238169675205,51.83340654296326,37.08812862660819
793543,2.890488182278244,13.041866123793788,11.678529476482353,48.62264776967204,34.17041024381111
794731,0.43617733057977986,21.113078753992955,19.19405020222779,16.11771057400979,8.519798071793595
794954,3.280989699377241,7.25788604739724,6.55752806670093,42.41573892832512,22.789218710550116
795087,1.9172870894028928,5.539449031550785,2.9311651244047554,16.999352991981077,10.339797698558607
795229,0.0,0.0,2.9311651244047554,0.0,0.0
795364,1.1716319607294838,20.39835479359623,10.88526023475868,34.781280598827244,21.91170816797172
795871,4.864348651285845,7.5428861291192915,6.868293903470398,45.77815176580234,37.10858699703558
795907,3.0781678212990236,14.013494352453792,12.098725739188238,53.85180905536728,43.463901024492145
796312,0.7801608415513099,20.445082893071596,18.192657166281563,22.71235831971261,15.806807419761327
796969,2.1645011368563876,13.56530675528529,12.427870041314407,35.279246362507244,29.532472030109577
797147,1.3900934529437567,13.009922358061631,9.844311928336847,35.98668810434971,18.218628163731136
797175,2.3275689565021445,15.83347335643365,15.190107248835703,42.52134754035373,36.626116256930146
798331,1.896081174771003,14.789115535239722,13.646271366234451,41.311430716424496,27.403426598861802
798489,2.6458494561123964,17.90458616401602,16.89832537664535,59.84055486545816,45.66078373779663
799666,0.06125259574152061,11.573656948028878,10.754932264600425,3.662702885263574,-1.116147811713257
799993,1.9041527794635098,11.922853065997629,11.121050531180444,31.531518256036662,23.35186601845898
800068,1.7281780931620763,20.53238358121813,19.6521188965884,47.87995499994812,35.09690358343701
