gal_number,r_half,r_half_index,z_half,z_half_index,ratio,stellar_mass,T_total_mass,gas_r_half,gas_r_half_index,gas_z_half,gas_z_half_index,gas_ratio,gas_total_mass,specific_angular_mom,h1_specific_angular_mom,gas_COM,max_R
760268,0.9869891437349195,894.0,0.2932763696169926,879.0,0.29714244728892303,71284816.0,3745533696.0,4.897215955619068,2569.0,0.39301485237937517,2643.0,0.08025271009917986,353253728.0,"[np.float64(4.965936778757902e-17), np.float64(1.2761768325811104e-15), np.float64(9.289047454260674e-16)]","[np.float64(1.097574138924758e-15), np.float64(7.425637571832583e-15), np.float64(4.596508127287201e-15)]","[np.float64(6516.136199496026), np.float64(8255.105483158974), np.float64(1569.0230826733064)]",28.483122635241532
760554,1.0866071017833245,4957.0,0.20222340984463394,4808.0,0.18610536367077637,392247680.0,3470703104.0,3.0946331984032933,3855.0,0.4312399916604292,3813.0,0.13935092271450192,380514336.0,"[np.float64(1.3822949488621967e-15), np.float64(1.0453574611133308e-15), np.float64(1.106015667271286e-16)]","[np.float64(5.84981035984095e-15), np.float64(3.9900124459329904e-15), np.float64(2.682210903946528e-16)]","[np.float64(5339.558467779516), np.float64(11936.42403726798), np.float64(3009.9381207919846)]",87.69416799755837
760587,0.823292887850272,4691.0,0.19578051702649393,4629.0,0.23780178344271027,380943872.0,2626424320.0,1.8684216204741175,1398.0,0.30992419571864627,1323.0,0.1658748712402515,76449488.0,"[np.float64(2.8303856283339814e-17), np.float64(2.8450754061563347e-16), np.float64(4.970359662629375e-16)]","[np.float64(4.575599228334927e-16), np.float64(1.0591077700108898e-15), np.float64(2.6893104151027746e-15)]","[np.float64(3913.7848382242782), np.float64(2120.074877767306), np.float64(6310.581243229006)]",40.676928651923966
760772,0.47479580352395306,6928.0,0.13534735684674987,6859.0,0.2850643494365293,477044096.0,3082178560.0,5.082409726010871,543.0,0.2771765408509003,526.0,0.054536441529371385,66312688.0,"[np.float64(8.387448450441052e-16), np.float64(1.2818677088002379e-15), np.float64(1.4268791063185007e-15)]","[np.float64(4.670959536560781e-15), np.float64(6.373699035102109e-15), np.float64(7.925796509540692e-15)]","[np.float64(5216.4261482433785), np.float64(3878.566497551401), np.float64(5501.664613959393)]",42.18438348924825
761040,0.9017345309850066,1316.0,0.2662328432833521,1318.0,0.2952452569300342,105232232.0,3543908608.0,2.836205745262102,259.0,0.5042158227104857,253.0,0.17777829536971398,23012718.0,"[np.float64(5.374676793340415e-16), np.float64(8.4300946834396655e-16), np.float64(1.0596491260553132e-15)]","[np.float64(1.8573266587299757e-15), np.float64(3.9428073298564545e-15), np.float64(4.2826002926827074e-15)]","[np.float64(5203.079275713135), np.float64(10757.902308470417), np.float64(14133.27930197667)]",54.643442918626796
761967,0.8380613746814463,1913.0,0.2531155648996764,1913.0,0.3020250933243256,154484000.0,4646583296.0,4.0860487264861955,3070.0,0.44029956290405076,2993.0,0.1077568067287066,394408480.0,"[np.float64(4.5030926676692264e-17), np.float64(1.2817038211895309e-15), np.float64(1.9347695023762563e-17)]","[np.float64(7.287360180258719e-16), np.float64(7.097260808467711e-15), np.float64(2.137934243904529e-15)]","[np.float64(8484.921315851721), np.float64(1870.674833230109), np.float64(15501.781150214734)]",55.05609643616056
762186,0.18680032688957446,2883.0,0.08585229006354289,2796.0,0.45959389629063013,193985392.0,2253521152.0,1.4551533519079263,582.0,0.40433634116998485,582.0,0.27786510654690705,32304450.0,"[np.float64(9.641309951175443e-17), np.float64(1.0909891629722415e-16), np.float64(1.3857916828200573e-16)]","[np.float64(7.249837630124941e-16), np.float64(8.831486417565051e-16), np.float64(1.860601604029922e-15)]","[np.float64(296.10644216449487), np.float64(8086.719235229409), np.float64(2578.463297409624)]",14.795496955252377
762187,0.5026251253927311,206.0,0.2510682461854333,204.0,0.49951391902515546,16018919.0,283391392.0,0.5841274883016376,103.0,0.1604753029043318,99.0,0.27472650426179557,10799630.0,"[np.float64(2.8014311262327643e-18), np.float64(3.8766027122916284e-17), np.float64(2.061339051497009e-16)]","[np.float64(1.9677484818591784e-16), np.float64(3.3276787377354397e-16), np.float64(3.089217460361724e-16)]","[np.float64(216.49954931700384), np.float64(8040.866407915559), np.float64(2533.20107421274)]",17.25806374971043
762230,1.378545464480586,7926.0,0.1892009281908368,7799.0,0.13724678152861988,610374912.0,3210734336.0,3.264939885107421,5033.0,0.3803686301478182,5138.0,0.11650095975206708,473244320.0,"[np.float64(2.7040099457278436e-15), np.float64(2.2503682245414897e-16), np.float64(4.3968102379460155e-16)]","[np.float64(7.380290567622707e-15), np.float64(2.735407476904615e-16), np.float64(2.0179439900752832e-15)]","[np.float64(3012.401886734319), np.float64(15487.872801155683), np.float64(12294.370535472213)]",41.54314921891966
762901,0.7361526706213477,4859.0,0.17228664193451623,4782.0,0.23403656443859416,393472160.0,3270156544.0,1.8347166289295607,2277.0,0.5053447952374579,2087.0,0.27543479318236413,171671168.0,"[np.float64(6.154592014586733e-16), np.float64(3.5398313347422583e-16), np.float64(2.1030258512345832e-16)]","[np.float64(2.410313483855939e-15), np.float64(1.9911425321355823e-15), np.float64(2.0462285720500298e-17)]","[np.float64(1957.2080236331924), np.float64(15777.770838245942), np.float64(3811.8105925977916)]",44.383159435835395
763418,0.8307823483249184,3490.0,0.17751209743155982,3384.0,0.21366859537816632,264253536.0,3351259648.0,2.883483065844657,2575.0,0.3450862245199903,2425.0,0.11967686878677904,246403280.0,"[np.float64(5.603566121375477e-16), np.float64(7.157535863516928e-16), np.float64(4.652398630025612e-16)]","[np.float64(2.6027524590825203e-15), np.float64(3.0686518333117875e-15), np.float64(2.5601440541612076e-15)]","[np.float64(14982.092478855806), np.float64(5655.22198885611), np.float64(4090.3952885961266)]",27.87668119516705
764142,1.3347125318923583,1201.0,0.2283909225834442,1187.0,0.17111618953605767,89244680.0,2833623808.0,4.827920468785727,3190.0,0.2646969184213519,3176.0,0.05482627978913786,426798720.0,"[np.float64(1.5480420772194497e-15), np.float64(7.9066357468656235e-16), np.float64(1.3731127458874956e-15)]","[np.float64(5.7942074188579625e-15), np.float64(3.0946531165791277e-15), np.float64(5.0382054196570304e-15)]","[np.float64(14421.73812350129), np.float64(12524.969672760735), np.float64(2232.420543616557)]",36.93514524257544
764143,0.3467129082271045,158.0,0.19270752764275353,159.0,0.555812959569783,11706729.0,222131280.0,0.41609019361206545,45.0,0.18400687897255785,41.0,0.44222834807809364,3481890.0,"[np.float64(2.4930508172018307e-17), np.float64(1.1257379340001016e-16), np.float64(3.630060704125765e-17)]","[np.float64(2.0579776316753293e-16), np.float64(1.1586336793245094e-16), np.float64(1.486236853371987e-16)]","[np.float64(14448.966844110266), np.float64(12545.435710346945), np.float64(2257.864272130183)]",8.113138582833209
764586,0.6314596055353711,4311.0,0.28149284476120484,4297.0,0.4457812380928887,353088608.0,3528318976.0,2.0728625609255373,2578.0,0.5888230412657166,2333.0,0.2840627508862941,184345984.0,"[np.float64(5.661826025900775e-16), np.float64(5.0373111742356995e-17), np.float64(1.8804499725439186e-16)]","[np.float64(2.199611168005931e-15), np.float64(9.417360594420978e-17), np.float64(2.9525283913908992e-15)]","[np.float64(2168.576477621547), np.float64(2764.512548700049), np.float64(12387.265116225122)]",39.615909239916505
764773,1.0066330007447866,6706.0,0.17527014647594832,6572.0,0.1741152399596175,514197664.0,3217571584.0,3.148183269666309,2925.0,0.34909331403778215,2984.0,0.11088722737376856,279200960.0,"[np.float64(8.111824677359653e-16), np.float64(2.5865861938993757e-16), np.float64(2.0307036115645472e-15)]","[np.float64(2.3337885215462773e-15), np.float64(1.3284587129281554e-15), np.float64(6.2854872703967055e-15)]","[np.float64(11169.72069566601), np.float64(7491.76084870386), np.float64(4072.9771449574237)]",44.80659239307042
764808,0.3166184402563422,3804.0,0.1284116281889047,3761.0,0.40557217098580683,267920816.0,3477589248.0,5.60134794197042,1508.0,0.39373787735830973,1500.0,0.07029341534170115,205916176.0,"[np.float64(7.830945086527442e-16), np.float64(2.377547057410331e-16), np.float64(2.272077286597882e-16)]","[np.float64(1.0422499242008644e-14), np.float64(3.0103019095089673e-15), np.float64(3.058388389252036e-15)]","[np.float64(12149.923475855909), np.float64(5269.352350084901), np.float64(6286.9197037878985)]",24.50084496580439
765104,0.14138045377420114,9799.0,0.07317380946155898,9580.0,0.5175666615020555,639361664.0,3439932928.0,2.1037171737843186,1239.0,0.8888039924819902,1192.0,0.42249215035077425,118495280.0,"[np.float64(7.795189990659281e-17), np.float64(6.750682470377859e-16), np.float64(3.579625231395317e-16)]","[np.float64(2.361134475990716e-16), np.float64(2.261840624179416e-15), np.float64(9.6454759999525e-16)]","[np.float64(5267.320146120941), np.float64(8177.681003864548), np.float64(900.4011702218786)]",57.42362940795184
765177,0.6630140931335095,6020.0,0.2586959914596669,5950.0,0.3901817384258436,493260352.0,3127951104.0,2.371288599536986,2776.0,0.48865908105661826,2724.0,0.20607322160281671,205750112.0,"[np.float64(1.860910548644967e-17), np.float64(3.9648993646536215e-16), np.float64(6.390443924484025e-16)]","[np.float64(2.127668952167106e-15), np.float64(2.200718230644647e-15), np.float64(3.2224309908353875e-15)]","[np.float64(800.0386732907083), np.float64(3931.0757776990013), np.float64(778.7977790553681)]",29.06028901255918
