,bincenters,v_obs,v_bar,v_tot
98,31.66874084410992,7.914928405047451e-15,165996.58813286843,315815.8402587356
99,31.990250903440987,0.0,0.0,0.0
100,32.311760962772055,0.0,0.0,0.0
101,32.633271022103116,0.0,0.0,0.0
102,32.95478108143418,0.0,0.0,0.0
103,33.27629114076525,0.0,0.0,0.0
104,33.59780120009631,0.0,0.0,0.0
105,33.919311259427374,0.0,0.0,0.0
106,34.24082131875844,0.0,0.0,0.0
107,34.56233137808951,0.0,0.0,0.0
108,34.88384143742057,0.0,0.0,0.0
109,35.20535149675164,0.0,0.0,0.0
110,35.52686155608271,0.0,0.0,0.0
111,35.84837161541377,0.0,0.0,0.0
112,36.16988167474483,0.0,0.0,0.0
113,36.491391734075904,6.63357506626952e-15,155396.27146138137,310328.2480050823
114,36.812901793406965,6.862342832410776e-15,154764.9574264095,310014.87476719
115,37.134411852738026,7.158513188366626e-15,154140.56689519974,309713.61788367707
116,37.455921912069094,6.9859506488049985e-15,153525.08237095355,309407.01352858247
117,37.77743197140016,6.738682145716578e-15,152916.8294812552,309112.06759149313
118,38.09894203073122,6.872190667324894e-15,152315.95206303307,308787.75751049357
119,38.42045209006229,7.079652116974272e-15,151722.89416041903,308494.64453291777
120,38.74196214939336,6.982769922942138e-15,151136.34747983093,308193.47892701975
121,39.06347220872442,7.207751122031283e-15,150561.3449712418,307916.5778771501
122,39.38498226805548,7.333836181356359e-15,149989.823889206,307588.3936760466
123,39.706492327386556,7.049130021212761e-15,149424.48397387142,307302.1178781382
124,40.02800238671762,7.11904598205499e-15,148865.04053369007,307064.6902220186
125,40.34951244604868,7.193241341350095e-15,148312.71375893705,306807.39921921486
126,40.671022505379746,7.143523189258225e-15,147766.51281344917,306519.7640628074
127,40.992532564710814,0.0,0.0,0.0
128,41.314042624041875,0.0,0.0,0.0
129,41.63555268337294,0.0,0.0,0.0
130,41.95706274270401,0.0,0.0,0.0
131,42.27857280203507,0.0,0.0,0.0
132,42.60008286136613,0.0,0.0,0.0
133,42.92159292069721,0.0,0.0,0.0
134,43.24310298002827,0.0,0.0,0.0
135,43.56461303935933,0.0,0.0,0.0
136,43.8861230986904,0.0,0.0,0.0
137,44.207633158021466,0.0,0.0,0.0
138,44.52914321735253,0.0,0.0,0.0
139,44.850653276683595,0.0,0.0,0.0
140,45.17216333601466,0.0,0.0,0.0
141,45.49367339534572,0.0,0.0,0.0
142,45.815183454676784,0.0,0.0,0.0
143,46.13669351400786,0.0,0.0,0.0
144,46.45820357333892,0.0,0.0,0.0
145,46.77971363266998,0.0,0.0,0.0
146,47.10122369200105,0.0,0.0,0.0
147,47.42273375133212,0.0,0.0,0.0
148,47.74424381066318,0.0,0.0,0.0
149,48.065753869994246,0.0,0.0,0.0
